INFO:root:K: 0.02, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.02, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.02, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.02, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.02, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.05, Steps: 5, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.05, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.05, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.05, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.05, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.05, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.1, Steps: 5, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.1, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.1, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.1, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.1, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.1, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.2, Steps: 5, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.2, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.2, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.2, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.2, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.2, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.5, Steps: 5, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.5, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.5, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.5, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.5, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 0.5, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 1, Steps: 5, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 1, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 1, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 1, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 1, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 1, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 2, Steps: 5, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 2, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 2, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 2, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 2, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 2, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 3, Steps: 5, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 3, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 3, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 3, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 3, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 3, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 10, Steps: 5, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 10, Steps: 10, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 10, Steps: 50, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 10, Steps: 100, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 10, Steps: 150, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:K: 10, Steps: 200, PSNR: 44.49906528168093, MSE: 467438.4843980106
INFO:root:best_K: 0.01, best_steps: 5, best_psnr: 44.49906528168093, best_mse: 467438.4843980106
INFO:root:K: 0.01, Steps: 5, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.01, Steps: 10, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.01, Steps: 50, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.01, Steps: 100, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.01, Steps: 150, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.01, Steps: 200, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.02, Steps: 5, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.02, Steps: 10, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.02, Steps: 50, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.02, Steps: 100, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.02, Steps: 150, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.02, Steps: 200, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.05, Steps: 5, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.05, Steps: 10, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.05, Steps: 50, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.05, Steps: 100, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.05, Steps: 150, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.05, Steps: 200, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.1, Steps: 5, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.1, Steps: 10, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.1, Steps: 50, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.1, Steps: 100, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.1, Steps: 150, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.1, Steps: 200, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.2, Steps: 5, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.2, Steps: 10, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.2, Steps: 50, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.2, Steps: 100, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.2, Steps: 150, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.2, Steps: 200, PSNR: 45.28787822290565, MSE: 1851868.0532753882
INFO:root:K: 0.5, Steps: 5, PSNR: 45.28774227363336, MSE: 1851906.1204507742
INFO:root:K: 0.5, Steps: 10, PSNR: 45.28774227363336, MSE: 1851906.1204507742
INFO:root:K: 0.5, Steps: 50, PSNR: 45.28774227363336, MSE: 1851906.1204507742
INFO:root:K: 0.5, Steps: 100, PSNR: 45.28774227363336, MSE: 1851906.1204507742
INFO:root:K: 0.5, Steps: 150, PSNR: 45.28774227363336, MSE: 1851906.1204507742
INFO:root:K: 0.5, Steps: 200, PSNR: 45.28774227363336, MSE: 1851906.1204507742
INFO:root:K: 1, Steps: 5, PSNR: 44.512615350151, MSE: 9640933.48234735
INFO:root:K: 1, Steps: 10, PSNR: 44.51252058003487, MSE: 9640927.142315261
INFO:root:K: 1, Steps: 50, PSNR: 44.51252058003487, MSE: 9640927.142315261
