2024-04-23 15:02:34,355 - PSNR_Results - INFO - Starting denoising process from main.py...
2024-04-23 15:04:56,024 - PSNR_Results - INFO - K = 10: psnr_f1 = 27.87857844570286, psnr_f2 = 37.98491933586159
2024-04-23 15:04:56,091 - PSNR_Results - INFO - Starting denoising process from main_varing_delt.py...
2024-04-23 15:04:56,211 - PSNR_Results - INFO - del_t = 0.001: psnr_f1 = 45.50395826860473, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,307 - PSNR_Results - INFO - del_t = 0.005: psnr_f1 = 45.48231731873411, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,400 - PSNR_Results - INFO - del_t = 0.01: psnr_f1 = 45.28520533472645, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,489 - PSNR_Results - INFO - del_t = 0.05: psnr_f1 = 41.24514026007101, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,577 - PSNR_Results - INFO - del_t = 0.1: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,671 - PSNR_Results - INFO - del_t = 0.2: psnr_f1 = 41.05366572260773, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,828 - PSNR_Results - INFO - del_t = 0.001: psnr_f1 = 44.575984518158435, psnr_f2 = 44.575984518158435
2024-04-23 15:04:56,920 - PSNR_Results - INFO - del_t = 0.005: psnr_f1 = 44.51974799459499, psnr_f2 = 44.575984518158435
2024-04-23 15:04:57,007 - PSNR_Results - INFO - del_t = 0.01: psnr_f1 = 44.19336060384728, psnr_f2 = 44.575984518158435
2024-04-23 15:04:57,100 - PSNR_Results - INFO - del_t = 0.05: psnr_f1 = 40.56755165507327, psnr_f2 = 44.575984518158435
2024-04-23 15:04:57,188 - PSNR_Results - INFO - del_t = 0.1: psnr_f1 = 40.80870745280775, psnr_f2 = 44.575984518158435
2024-04-23 15:04:57,276 - PSNR_Results - INFO - del_t = 0.2: psnr_f1 = 41.421018730956774, psnr_f2 = 44.575984518158435
2024-04-23 15:04:57,340 - PSNR_Results - INFO - Starting denoising process with varying steps from main.py...
2024-04-23 15:04:57,371 - PSNR_Results - INFO - steps = 5: psnr_f1 = 41.778843737436745, psnr_f2 = 45.50395826860473
2024-04-23 15:04:57,424 - PSNR_Results - INFO - steps = 10: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:57,658 - PSNR_Results - INFO - steps = 50: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:58,107 - PSNR_Results - INFO - steps = 100: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:58,780 - PSNR_Results - INFO - steps = 150: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:59,656 - PSNR_Results - INFO - steps = 200: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:59,744 - PSNR_Results - INFO - steps = 5: psnr_f1 = 40.815838288595515, psnr_f2 = 44.575984518158435
2024-04-23 15:04:59,793 - PSNR_Results - INFO - steps = 10: psnr_f1 = 40.80870745280775, psnr_f2 = 44.575984518158435
2024-04-23 15:05:00,023 - PSNR_Results - INFO - steps = 50: psnr_f1 = 40.806639922226665, psnr_f2 = 44.575984518158435
2024-04-23 15:05:00,462 - PSNR_Results - INFO - steps = 100: psnr_f1 = 40.81025874693503, psnr_f2 = 44.575984518158435
2024-04-23 15:05:01,102 - PSNR_Results - INFO - steps = 150: psnr_f1 = 40.80974158732125, psnr_f2 = 44.575984518158435
2024-04-23 15:05:01,979 - PSNR_Results - INFO - steps = 200: psnr_f1 = 40.81129325094999, psnr_f2 = 44.575984518158435
